Variable,Description,Type,Units/Levels
SEQN,Respondent sequence number,Identifier,-
Sex,Biological sex,Categorical,Male / Female
Age,Age in years at screening,Continuous,20-80
AgeGroup,Age band,Ordinal,20-39 / 40-59 / 60-79 / 80+
RaceEthnicity,Race and Hispanic origin,Categorical,6 levels
Education,Highest education (adults),Ordinal,5 levels
IncomePovertyRatio,Family income to poverty ratio,Continuous,0-5
IncomeGroup,Income-poverty band,Ordinal,3 levels
SmokingStatus,Derived smoking status,Ordinal,Never / Former / Current
CurrentSmoker,Current smoker flag,Binary,0 / 1
BMI,Body mass index,Continuous,kg/m^2
BMICategory,WHO BMI class,Ordinal,4 levels
Obese,BMI >= 30 flag,Binary,0 / 1
Weight,Body weight,Continuous,kg
Height,Standing height,Continuous,cm
WaistCircumference,Waist circumference,Continuous,cm
EnergyKcal,Day-1 energy intake,Continuous,kcal
ProteinG,Day-1 protein,Continuous,g
CarbohydrateG,Day-1 carbohydrate,Continuous,g
SugarG,Day-1 total sugars,Continuous,g
TotalFatG,Day-1 total fat,Continuous,g
FiberG,Day-1 dietary fiber,Continuous,g
SodiumMg,Day-1 sodium,Continuous,mg
SystolicBP,Systolic blood pressure,Continuous,mmHg
DiastolicBP,Diastolic blood pressure,Continuous,mmHg
Hypertensive,BP >= 130/80 flag,Binary,0 / 1
HDL,HDL cholesterol,Continuous,mg/dL
FastingGlucose,Fasting plasma glucose,Continuous,mg/dL
